id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,0.000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.7677953696021995,-0.291751258517685,-0.0000026471311772,-0.000005929659164,Alp,9,CMa,1,32263,Gl 244,22.824433121735034,,-1.333,-1.523
30365,30438,45348,2326,,Alp Car,Canopus,6.399195,-52.69566,94.7867,19.99,23.67,21.0,-0.62,-5.504,F0Ib,0.164,-5.992679,57.132034,-75.396105,-0.0000114,0.00002059,-0.00001049,1.6753053519997292,-0.9197127748902675,0.0000000969142547,0.000000114755398,Alp,,Car,1,30365,,13854.791675667215,,-0.547,-0.667
69451,69673,124897,5340,Gl 541,16Alp Boo,Arcturus,14.26103,19.18241,11.2575,-1093.45,-1999.4,-5.0,-0.05,-0.307,K2IIIp,1.239,-8.823448,-5.932531,3.698938,-0.00005905,0.0000322,-0.00010473,3.7335290285420872,0.33479621805862125,-0.00000530119519,-0.000009693364729,Alp,16,Boo,1,69451,,115.55799554021293,,,
71456,71683,128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,14.660765,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-0.00000722,0.00002476,0.00002491,3.838179211777228,-1.0617531757704175,-0.0000178323683168,0.000002336026238,Alp-1,,Cen,1,71456,Gl 559,1.543121065657792,,0.113,-0.087
90979,91262,172167,7001,Gl 721,3Alp Lyr,Vega,18.61564,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,0.00000476,0.00001734,0.00000059,4.873563095509031,0.6769031163973025,0.0000009745724607,0.000001393645406,Alp,3,Lyr,1,90979,,49.93441887213498,,,
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.381816412648801,0.8028163926341112,0.0000003661312916,-0.000002070784673,Alp,13,Aur,1,24549,Gl 194,139.3156802945302,,,
24378,24436,34085,1713,,19Bet Ori,Rigel,5.242298,-8.20164,264.5503,1.87,-0.56,21.0,0.18,-6.933,B8Ia,-0.03,51.601106,256.709905,-37.740051,0.00000182,0.00002121,-0.00000377,1.3724303693276385,-0.143145630755865,0.0000000090660158,-0.000000002714956,Bet,19,Ori,1,24378,,51665.42425669497,,,
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4.0,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083041242831,0.09119333187796,-0.0000034740293908,-0.000005015785376,Alp,10,CMi,1,37173,Gl 280,7.4404636619191935,,,
7574,7588,10144,472,,Alp Eri,Achernar,1.628556,-57.236757,42.7533,88.02,-40.08,16.0,0.45,-2.705,B3Vp,-0.158,21.065573,9.568417,-35.951967,-0.00000584,0.00001738,-0.00001826,0.42635506591376426,-0.9989698692415762,0.0000004267330016,-0.000000194313323,Alp,,Eri,1,7574,,1051.9618738232234,Alp,0.487,0.427
27919,27989,39801,2061,,58Alp Ori,Betelgeuse,5.919529,7.407063,152.6718,27.33,10.86,21.0,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-0.0000198,0.00002068,0.00001074,1.5497291183713153,0.12927763169419373,0.0000001324995789,0.000000052650765,Alp,58,Ori,1,27919,,13415.28798266127,Alp,0.571,0.281
68483,68702,122451,5267,,Bet Cen,Hadar,14.063729,-60.373039,120.1923,-33.96,-25.06,6.0,0.61,-4.789,B1III,-0.231,-50.954051,-30.56287,-104.478695,-0.00000189,0.00002194,-0.00001255,3.681875660376148,-1.053708314075195,-0.0000001646427259,-0.000000121494308,Bet,,Cen,1,68483,,7171.33482657721,Bet,0.634,0.594
97338,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.195772105546999,0.15478141706831,0.0000026025768,0.000001869150664,Alp,53,Aql,1,97338,,11.376272858234303,Alp,0.803,0.753
60530,60718,108248,4730,,Alp1Cru,Acrux,12.443311,-63.099092,98.7167,-35.37,-14.73,-11.0,0.77,-4.202,B0.5IV,-0.243,-44.363755,-5.171957,-88.034513,0.00000934,0.00001813,0.00000684,3.2576512815622607,-1.1012869028642311,-0.0000001714785988,-0.000000071413055,Alp-1,,Cru,1,60530,,4176.379929509739,,,
21368,21421,29139,1457,Gl 171.1A,87Alp Tau,Aldebaran,4.598677,16.509301,20.4332,62.78,-189.36,54.5,0.87,-0.682,K5III,1.538,7.02722,18.287604,5.806661,0.00001528,0.00005709,-0.00000214,1.2039308112027507,0.2881416661221312,0.0000003043660287,-0.000000918043185,Alp,87,Tau,1,21368,Gl 171.1,163.23000728189953,Alp,0.888,0.858
65269,65474,116658,5056,,67Alp Vir,Spica,13.419883,-11.161322,76.5697,-42.5,-31.73,1.0,0.98,-3.44,B1V,-0.235,-69.990853,-27.285826,-14.82176,-0.00000454,0.00001516,-0.00001175,3.5133172180991257,-0.194801818024575,-0.0000002060458142,-0.00000015383138,Alp,67,Vir,1,65269,,2070.1413487910413,Alp,1.001,0.961
80519,80763,148478,6134,,21Alp Sco,Antares,16.490128,-26.432002,169.7793,-10.16,-23.21,-3.0,1.06,-5.089,M1Ib + B2.5V,1.865,-58.542602,-140.307591,-75.574766,-0.00000338,0.0000136,-0.00001574,4.317105466000638,-0.4613254705959812,-0.0000000492570699,-0.000000112525255,Alp,21,Sco,1,80519,,9453.660459579653,Alp,1.155,0.995
37718,37826,62509,2990,Gl 286,78Bet Gem,Pollux,7.755277,28.026199,10.3584,-625.69,-45.95,3.6,1.16,1.084,K0IIIvar,0.991,-4.055465,8.19518,4.867171,0.00002624,0.00001782,-0.00000031,2.0303268874812184,0.4891494417459975,-0.0000030334307179,-0.000000222771886,Bet,78,Gem,1,37718,,32.09223768048434,,,
113008,113368,216956,8728,Gl 881,24Alp PsA,Fomalhaut,22.960838,-29.622236,7.7036,329.22,-164.22,6.1,1.17,1.737,A3V,0.145,6.450517,-1.799476,-3.807757,0.00000561,0.0000112,-0.00000841,6.011133383906492,-0.5170055514089774,0.0000015961035991,-0.000000796161026,Alp,24,PsA,1,113008,,17.587333541355722,,,
62239,62434,111123,4853,,Bet Cru,Mimosa,12.795359,-59.688764,85.3971,-48.24,-12.82,16.0,1.25,-3.407,B0.5III,-0.238,-42.168771,-8.909619,-73.723149,-0.00000773,0.00001878,-0.00001681,3.349817026601454,-1.0417654498397388,-0.0000002338741195,-0.000000062153113,Bet,,Cru,1,62239,,2008.1678041839857,Bet,1.267,1.237
101767,102098,197345,7924,,50Alp Cyg,Deneb,20.690532,45.280338,432.9004,1.56,1.55,-5.0,1.25,-6.932,A2Ia,0.092,197.250632,-232.113407,307.600832,-0.00000133,0.00000662,-0.00000134,5.416768542177067,0.790290982752855,0.0000000075630934,0.000000007514612,Alp,50,Cyg,1,101767,,51617.86054966733,Alp,1.294,1.224
71453,71681,128621,5460,Gl 559B,Alp2Cen,Toliman,14.660346,-60.8383,1.3248,-3678.19,481.84,-26.2,1.35,5.739,K1V,0.9,-0.495181,-0.413973,-1.156674,-0.00000722,0.00002476,0.00002491,3.8380695707772277,-1.0618286487704176,-0.0000178323683168,0.000002336026238,Alp-2,,Cen,2,71456,Gl 559,0.44096081645063756,,,
49528,49669,87901,3982,,32Alp Leo,Regulus,10.139532,11.967207,24.3132,-249.4,4.91,6.0,1.36,-0.569,B7V,-0.087,-21.018857,11.132218,5.041397,0.00000856,0.00002873,0.00000184,2.654523172153456,0.20886716528807125,-0.0000012091253193,0.000000023804351,Alp,32,Leo,1,49528,,147.09570767969763,,,
33492,33579,52089,2618,,21Eps CMa,Adhara,6.977097,-28.972084,124.2236,2.63,2.29,27.0,1.5,-3.971,B2II,-0.211,-27.497987,105.141608,-60.171969,-0.00000781,0.00002362,-0.00001217,1.8265996485677483,-0.5056582518554612,0.0000000127505998,0.000000011102233,Eps,21,CMa,1,33492,,3375.981048554255,,,
36744,36850,60179,2891,Gl 278A,66Alp Gem,Castor,7.576634,31.888276,15.5958,-206.33,-148.18,6.0,1.58,0.615,A2Vm,0.034,-5.311938,12.130011,8.238737,0.00000983,0.00001645,-0.00000627,1.983558270234413,0.5565554130270287,-0.0000010003160671,-0.000000718396911,Alp,66,Gem,1,36744,Gl 278,49.43106869868354,,,
60893,61084,108903,4763,,Gam Cru,Gacrux,12.519429,-57.113212,27.1518,27.94,-264.33,21.0,1.59,-0.579,M4III,1.6,-14.606901,-1.998688,-22.800748,0.00001789,-0.00000126,-0.00003693,3.277578929248245,-0.9968135891950087,0.0000001354569423,-0.000001281508001,Gam,,Cru,1,60893,,148.45676750522713,,,
85665,85927,158926,6527,,35Lam Sco,Shaula,17.560145,-37.103821,175.1313,-8.9,-29.95,-3.0,1.62,-4.597,B1.5IV+...,-0.231,-16.048583,-138.749793,-105.649898,-0.00000546,0.00001854,-0.00001843,4.597235152451346,-0.6475838425148488,-0.0000000431484176,-0.000000145201697,Lam,35,Sco,1,85665,,6008.9695048348585,Lam,1.656,1.596
25273,25336,35468,1790,,24Gam Ori,Bellatrix,5.418851,6.349702,77.3994,-8.75,-13.28,18.0,1.64,-2.804,B2III,-0.224,11.658576,76.036136,8.56012,0.0000061,0.00001813,-0.00000292,1.418651833814526,0.11082320964651,-0.000000042421197,-0.000000064383256,Gam,24,Ori,1,25273,,1152.3913771994878,,,
25364,25428,35497,1791,,112Bet Tau,Elnath,5.438198,28.60745,41.0509,23.28,-174.22,9.0,1.65,-1.417,B7III,-0.13,5.281578,35.6504,19.655456,-0.00000097,0.00002509,-0.00002603,1.4237168085654672,0.4992941923790525,0.0000001128646248,-0.000000844642394,Bet,112,Tau,1,25364,,321.21809339879854,,,
45106,45238,80007,3685,,Bet Car,Miaplacidus,9.220041,-69.717208,34.6981,-157.66,108.91,-5.0,1.67,-1.032,A2IV,0.07,-8.980712,8.001552,-32.546536,0.00000613,0.00003005,0.00001115,2.413801172874073,-1.2167948189074338,-0.0000007643572488,0.000000528010579,Bet,,Car,1,45106,,225.32013356294826,,,
